"alpha","r2","n_fit","effective_r_max","vocabulary","tokens","r_max","generator","replicate","seed","benchmark"
1.1995946616311,0.827361069319842,291,300,12188,100000,300,"random segmentation",1,2001,"Zipf-compatible / mimicking"
0.997375895770449,0.834272767071016,491,500,12188,100000,500,"random segmentation",1,2001,"Zipf-compatible / mimicking"
1.19709703108688,0.867422191916553,773,782,12188,100000,1000,"random segmentation",1,2001,"Zipf-compatible / mimicking"
1.19709703108688,0.867422191916553,773,782,12188,100000,2000,"random segmentation",1,2001,"Zipf-compatible / mimicking"
1.19709703108688,0.867422191916553,773,782,12188,100000,3000,"random segmentation",1,2001,"Zipf-compatible / mimicking"
0.981194114759985,0.995816890043979,291,300,4494,100000,300,"Simon reinforcement",1,2001,"Zipf-compatible / mimicking"
0.996970245268754,0.996610031447601,491,500,4494,100000,500,"Simon reinforcement",1,2001,"Zipf-compatible / mimicking"
1.00586537116975,0.996879950528729,828,837,4494,100000,1000,"Simon reinforcement",1,2001,"Zipf-compatible / mimicking"
1.00586537116975,0.996879950528729,828,837,4494,100000,2000,"Simon reinforcement",1,2001,"Zipf-compatible / mimicking"
1.00586537116975,0.996879950528729,828,837,4494,100000,3000,"Simon reinforcement",1,2001,"Zipf-compatible / mimicking"
1.20345479872889,0.832789246379546,291,300,12224,100000,300,"random segmentation",2,2002,"Zipf-compatible / mimicking"
0.996761760856449,0.836102397845524,491,500,12224,100000,500,"random segmentation",2,2002,"Zipf-compatible / mimicking"
1.17840401621283,0.861077588616796,743,752,12224,100000,1000,"random segmentation",2,2002,"Zipf-compatible / mimicking"
1.17840401621283,0.861077588616796,743,752,12224,100000,2000,"random segmentation",2,2002,"Zipf-compatible / mimicking"
1.17840401621283,0.861077588616796,743,752,12224,100000,3000,"random segmentation",2,2002,"Zipf-compatible / mimicking"
0.989382344472555,0.997298570158521,291,300,4515,100000,300,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
0.970123162482751,0.997551632141183,491,500,4515,100000,500,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
0.98015985847267,0.997055184810973,860,869,4515,100000,1000,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
0.98015985847267,0.997055184810973,860,869,4515,100000,2000,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
0.98015985847267,0.997055184810973,860,869,4515,100000,3000,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
1.20007776457368,0.834909337983532,291,300,12136,100000,300,"random segmentation",3,2003,"Zipf-compatible / mimicking"
0.990093658898677,0.835423127843203,491,500,12136,100000,500,"random segmentation",3,2003,"Zipf-compatible / mimicking"
1.19009059049856,0.865036878179488,772,781,12136,100000,1000,"random segmentation",3,2003,"Zipf-compatible / mimicking"
1.19009059049856,0.865036878179488,772,781,12136,100000,2000,"random segmentation",3,2003,"Zipf-compatible / mimicking"
1.19009059049856,0.865036878179488,772,781,12136,100000,3000,"random segmentation",3,2003,"Zipf-compatible / mimicking"
1.03760579255992,0.997624021608721,291,300,4495,100000,300,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
