"alpha","r2","n_fit","effective_r_max","vocabulary","tokens","r_max","generator","replicate","seed","benchmark"
0.99040688772436,0.999037917737433,291,300,4855,100000,300,"finite Zipf reference",1,2001,"strict equifinality"
0.991535714254089,0.99890625820387,491,500,4855,100000,500,"finite Zipf reference",1,2001,"strict equifinality"
0.988621710146074,0.999159529567116,991,1000,4855,100000,1000,"finite Zipf reference",1,2001,"strict equifinality"
0.971293081228966,0.998416523335929,1991,2000,4855,100000,2000,"finite Zipf reference",1,2001,"strict equifinality"
0.966530936996413,0.998068555316544,2598,2607,4855,100000,3000,"finite Zipf reference",1,2001,"strict equifinality"
0.996624262504698,0.998646637697993,291,300,4614,100000,300,"Zipf Markov control",1,2001,"strict equifinality"
0.980195839558417,0.998797401741763,491,500,4614,100000,500,"Zipf Markov control",1,2001,"strict equifinality"
0.966477641677862,0.999052358849383,991,1000,4614,100000,1000,"Zipf Markov control",1,2001,"strict equifinality"
0.95928637885436,0.998597422006693,1991,2000,4614,100000,2000,"Zipf Markov control",1,2001,"strict equifinality"
0.966360628710828,0.998159971168295,2548,2557,4614,100000,3000,"Zipf Markov control",1,2001,"strict equifinality"
0.991997220909893,0.998485891599125,291,300,4782,100000,300,"latent mixture",1,2001,"strict equifinality"
1.02478463544239,0.998013260071012,491,500,4782,100000,500,"latent mixture",1,2001,"strict equifinality"
1.02632843051431,0.998674627023328,991,1000,4782,100000,1000,"latent mixture",1,2001,"strict equifinality"
0.996599199646593,0.997470161184541,1991,2000,4782,100000,2000,"latent mixture",1,2001,"strict equifinality"
0.991910533220386,0.997403705237551,2335,2344,4782,100000,3000,"latent mixture",1,2001,"strict equifinality"
0.998692131078388,0.999429213579765,291,300,5023,100000,300,"sample-space reduction",1,2001,"strict equifinality"
0.999624249493846,0.999548363595666,491,500,5023,100000,500,"sample-space reduction",1,2001,"strict equifinality"
0.985425312512838,0.999340497655165,991,1000,5023,100000,1000,"sample-space reduction",1,2001,"strict equifinality"
0.979639323660169,0.998856182120567,1991,2000,5023,100000,2000,"sample-space reduction",1,2001,"strict equifinality"
0.971893944826053,0.998234971673806,2587,2596,5023,100000,3000,"sample-space reduction",1,2001,"strict equifinality"
0.99876441809591,0.999262687310141,291,300,4870,100000,300,"finite Zipf reference",2,2002,"strict equifinality"
0.993827279535599,0.99943732030069,491,500,4870,100000,500,"finite Zipf reference",2,2002,"strict equifinality"
0.980944780909537,0.999301211067754,991,1000,4870,100000,1000,"finite Zipf reference",2,2002,"strict equifinality"
0.976412863663415,0.998847289528292,1991,2000,4870,100000,2000,"finite Zipf reference",2,2002,"strict equifinality"
0.96718111693909,0.99810923740238,2638,2647,4870,100000,3000,"finite Zipf reference",2,2002,"strict equifinality"
0.987317229939871,0.998576590745822,291,300,4605,100000,300,"Zipf Markov control",2,2002,"strict equifinality"
0.991817659864838,0.999134062629981,491,500,4605,100000,500,"Zipf Markov control",2,2002,"strict equifinality"
0.976426400608966,0.999145566773801,991,1000,4605,100000,1000,"Zipf Markov control",2,2002,"strict equifinality"
0.968883372235489,0.99861094780845,1991,2000,4605,100000,2000,"Zipf Markov control",2,2002,"strict equifinality"
0.970702635641371,0.998316804289914,2565,2574,4605,100000,3000,"Zipf Markov control",2,2002,"strict equifinality"
1.03457279026122,0.999086585174127,291,300,4763,100000,300,"latent mixture",2,2002,"strict equifinality"
1.04223591770368,0.999342384617281,491,500,4763,100000,500,"latent mixture",2,2002,"strict equifinality"
1.02636211407433,0.999114390378763,991,1000,4763,100000,1000,"latent mixture",2,2002,"strict equifinality"
1.00778019506064,0.998155877639511,1991,2000,4763,100000,2000,"latent mixture",2,2002,"strict equifinality"
1.00069206615124,0.997874209163527,2286,2295,4763,100000,3000,"latent mixture",2,2002,"strict equifinality"
1.00321281353683,0.999323309645095,291,300,5016,100000,300,"sample-space reduction",2,2002,"strict equifinality"
0.987144638663261,0.999231923040873,491,500,5016,100000,500,"sample-space reduction",2,2002,"strict equifinality"
0.983855765195202,0.999360128238049,991,1000,5016,100000,1000,"sample-space reduction",2,2002,"strict equifinality"
0.976799594468345,0.998828560724859,1991,2000,5016,100000,2000,"sample-space reduction",2,2002,"strict equifinality"
0.96712922234046,0.998071498234276,2641,2650,5016,100000,3000,"sample-space reduction",2,2002,"strict equifinality"
0.999797413576397,0.999254850366826,291,300,4865,100000,300,"finite Zipf reference",3,2003,"strict equifinality"
0.991395233778701,0.999409099054819,491,500,4865,100000,500,"finite Zipf reference",3,2003,"strict equifinality"
0.983669313011681,0.999401073378671,991,1000,4865,100000,1000,"finite Zipf reference",3,2003,"strict equifinality"
0.972186867064077,0.998754560900892,1991,2000,4865,100000,2000,"finite Zipf reference",3,2003,"strict equifinality"
