"vocabulary_size","scale_min","scale_max","stage","mean_alpha","sd_alpha","abs_alpha_bias","alpha_rmse","mean_vocabulary","sd_vocabulary","loss"
5000,0.5,8500,"50-seed-final",1.00096936755015,0.0334342266804213,0.000969367550151867,0.0331123879672054,4739.3,64.065734736651,0.00150347751565989
5000,1,8500,"50-seed-final",1.00115208868258,0.0331320131107922,0.00115208868258465,0.0328192473291325,4778.22,50.4875373589506,0.00212369333206342
5000,0.5,7890.6349,"50-seed-final",1.00408190704657,0.0335621906997141,0.00408190704657274,0.0334746799358793,4707.18,68.1803400952958,0.0266591442189763
5000,1,7890.6349,"50-seed-final",1.00467883349495,0.032822860608022,0.00467883349494835,0.0328281107862944,4755.18,56.5983666022335,0.035026372597521
10000,2,13600,"50-seed-final",1.00479477709631,0.0338809120466045,0.00479477709631304,0.0338813778422732,8159.98,215.482135250802,0.036783819845325
5000,0.5,7324.9552,"50-seed-final",1.00700146153278,0.0334427237555849,0.00700146153277847,0.0338388522314734,4675.32,73.5034193290436,0.0784327417519627
10000,2,12625.016,"50-seed-final",1.00729609866121,0.0338590236178484,0.00729609866120806,0.0343036130228438,8049.62,223.637816706443,0.0851728890785313
5000,1,7324.9552,"50-seed-final",1.00769373275043,0.0330401275628156,0.00769373275042917,0.0336007522596566,4722.68,62.7250039653166,0.0947096378160423
10000,2,11719.928,"50-seed-final",1.00894404663017,0.033459260934328,0.00894404663017201,0.0343092942152518,7935.36,230.604331162752,0.127993552196306
5000,0.5,6799.8291,"50-seed-final",1.01058558696725,0.0336659919997062,0.0105855869672522,0.0349683526695076,4643.24,77.4208114192581,0.179287442306016
10000,2,10879.727,"50-seed-final",1.01097481113226,0.0328329616561609,0.0109748111322552,0.0343058272467129,7816.8,231.794067646086,0.192714367021876
5000,1,6799.8291,"50-seed-final",1.01143662722658,0.0325734249093468,0.0114366272265765,0.0342140890926242,4693.68,69.4348733177577,0.209274307711472
10000,2,10099.759,"50-seed-final",1.01305691695646,0.0329458869540727,0.0130569169564607,0.0351312669605672,7693.62,233.020966911581,0.272772928652658
5000,0.5,6312.3493,"50-seed-final",1.01379635340519,0.0334010367013141,0.0137963534051864,0.0358281458486045,4605.52,82.1370780575784,0.304542987649276
5000,1,6312.3493,"50-seed-final",1.01382345424092,0.0330742814219907,0.0138234542409177,0.0355403688346106,4655.14,73.2886409886224,0.305740619441192
10000,2,9375.707,"50-seed-final",1.01545850632345,0.0325308964998012,0.0154585063234516,0.0357219744735836,7562.34,244.505465904431,0.382344668403508
5000,0.5,5859.8169,"50-seed-final",1.01701306564304,0.0341534262841752,0.0170130656430423,0.0378493302316446,4557.96,89.3724059135453,0.463111044119145
5000,1,5859.8169,"50-seed-final",1.01753144256031,0.0334295368992427,0.0175314425603068,0.0374504303953533,4617.7,79.669278128718,0.491762365192539
10000,2,8703.5624,"50-seed-final",1.01773703266443,0.0329731450882589,0.0177370326644308,0.037149509536604,7422.12,253.044776226482,0.503363724382538
10000,2,8079.604,"50-seed-final",1.01998008877312,0.0322763986022389,0.0199800887731159,0.0376846724276275,7273.08,257.336580995333,0.638726315810544
10000,2,8000,"50-seed-final",1.02016618072615,0.0321944887482971,0.0201661807261524,0.0377151196303126,7254.08,255.185074094894,0.650679752127744
5000,0.5,5439.7265,"50-seed-final",1.02036302131209,0.0347865790459347,0.0203630213120864,0.0400069568580412,4514.2,96.9531761591488,0.663444219130379
5000,1,5439.7265,"50-seed-final",1.02139908409205,0.0327884986981458,0.0213990840920486,0.0388780752342412,4574.34,84.2841670560167,0.732673279965708
10000,2,7500.3771,"50-seed-final",1.02193967264134,0.0322218617189566,0.0219396726413388,0.0387147599862374,7126.84,256.707278702369,0.770158776974575
5000,0.5,5049.7525,"50-seed-final",1.023224712793,0.0346604801971052,0.0232247127929972,0.0414331895231498,4461.04,103.362836253498,0.863019654907533
5000,0.5,5000,"50-seed-final",1.02417698395203,0.0345892189596495,0.0241769839520272,0.0419167310258134,4455.14,103.997843384233,0.935242484826526
10000,2,6962.6749,"50-seed-final",1.02469502048886,0.0319487968389741,0.0246950204888623,0.0401267385170314,6967.64,262.799664523129,0.975750459112526
5000,1,5049.7525,"50-seed-final",1.02507974546637,0.0328644210579845,0.0250797454663709,0.0410787341662924,4525.54,86.580671359497,1.00638981225273
5000,1,5000,"50-seed-final",1.02528646460037,0.0331133554289741,0.0252864646003681,0.0414001173137943,4516.9,91.7310287343005,1.02304846717707
10000,2,6463.5207,"50-seed-final",1.02727747765578,0.0312012735568656,0.0272774776557798,0.0412081286811295,6801.62,259.827328062626,1.19049725961851
5000,0.5,4687.7357,"50-seed-final",1.02741477789569,0.0345957597990755,0.0274147778956926,0.0438691156877361,4401.48,110.371032875294,1.20251207531225
5000,1,4687.7357,"50-seed-final",1.02870083715118,0.0327935223457412,0.0287008371511814,0.0433317996263996,4477.98,99.4697143940438,1.31798088508582
10000,2,6000.1508,"50-seed-final",1.02985201190649,0.0320839229475583,0.0298520119064944,0.0435882227710221,6629.62,264.981700561856,1.42582818378478
5000,0.5,4351.6718,"50-seed-final",1.03087097797411,0.0350290187826114,0.0308709779741096,0.0464274573373673,4341.7,114.29361579828,1.52482764972474
10000,2,5569.9999,"50-seed-final",1.03229887823479,0.0315256393060981,0.0322988782347862,0.0449133181830354,6459.28,262.024538498802,1.66914805636087
5000,1,4351.6718,"50-seed-final",1.03260171484736,0.0325200634730826,0.032601714847363,0.0458178485823617,4416.8,103.332433614692,1.70059489758203
5000,0.5,4039.7004,"50-seed-final",1.03445371427845,0.0348116904800399,0.0344537142784485,0.0487306386760681,4279.86,116.946701622612,1.89929348412954
10000,2,5170.6866,"50-seed-final",1.03602123494499,0.0319454436824132,0.0360212349449855,0.0479336052429478,6274.06,266.877133696006,2.07604698713896
5000,1,4039.7004,"50-seed-final",1.03620042289167,0.0327351473789382,0.0362004228916741,0.0485863015054494,4354.2,109.46362735761,2.09675298805767
10000,2,4800,"50-seed-final",1.03820711930765,0.0315506299955843,0.0382071193076499,0.0493489348805512,6093.54,265.105386052954,2.33565434526239
5000,0.5,3750.0943,"50-seed-final",1.03871418083765,0.0350805962663907,0.0387141808376519,0.0520079135098478,4207.7,127.611695772602,2.39806047668866
5000,1,3750.0943,"50-seed-final",1.04045390462739,0.0324247827895146,0.0404539046273875,0.0516416266956224,4287.44,114.315560388509,2.61842943936282
5000,0.5,3481.25,"50-seed-final",1.04319079661139,0.0350643816376872,0.0431907966113931,0.0554108793863393,4128.26,134.161159560783,2.98471185908277
5000,1,3481.25,"50-seed-final",1.04450441295096,0.0322986388890896,0.0445044129509649,0.0547994598943828,4213.06,124.201516636045,3.16902843537601
5000,0.5,3231.6791,"50-seed-final",1.047484325742,0.035053100596234,0.0474843257420039,0.0588124702367979,4051.62,137.256930236543,3.60761790587637
5000,1,3231.6791,"50-seed-final",1.04891638093084,0.0329658292561455,0.0489163809308415,0.0588032592969611,4128.76,127.659873356142,3.82849971739391
5000,0.5,3000,"50-seed-final",1.0529385466751,0.0346035148588577,0.0529385466751042,0.0630550941625467,3966.7,140.205716207089,4.4839835585155
5000,1,3000,"50-seed-final",1.05355122492561,0.0332097342871826,0.0535512249256083,0.0628375875844216,4044.8,133.970145928113,4.58837390565294
10000,2,8000,"screening",0.999659048689516,0.0349677112830214,0.000340951310483839,0.0331750357487612,7410.3,259.05900228841,0.000185996473793036
5000,1,5000,"screening",1.00258686706325,0.0325635204710342,0.00258686706325206,0.0310005880609329,4563.3,86.6295433312319,0.0107070099247014
5000,0.5,5000,"screening",1.00279061494398,0.0315039802984596,0.00279061494397825,0.0300172988282875,4514.2,96.1293110577853,0.0124600508248876
