"alphabet_size","p_delim","letter_decay","stage","mean_alpha","sd_alpha","abs_alpha_bias","alpha_rmse","mean_vocabulary","sd_vocabulary","loss"
8,0.46,0.06,"coarse",1.00137969690765,0.00682422270146263,0.0013796969076505,0.0066194091494802,12205.7,132.069888905668,0.00304570169116855
8,0.46,0.06,"refined",1.00137969690765,0.00682422270146263,0.0013796969076505,0.0066194091494802,12205.7,132.069888905668,0.00304570169116855
8,0.455,0.06,"refined",0.997561393139766,0.00333714714072854,0.002438606860234,0.00399621062429968,12518.5,115.168716817256,0.00951488547004856
8,0.465,0.06,"refined",1.00405486371955,0.0053506079083494,0.00405486371955388,0.00649677029562819,11881.8,118.275384872198,0.0263070716546469
8,0.45,0.06,"refined",0.99343902115731,0.0057779531341246,0.00656097884269013,0.00854942755699784,12871.4,99.185796474204,0.0688743093987641
8,0.47,0.06,"refined",1.00708866293433,0.0069487483131438,0.00708866293433319,0.00968017226107398,11563.7,121.33337912087,0.0803986275145428
8,0.445,0.06,"refined",0.991278273169258,0.00800934462986969,0.00872172683074213,0.011567331592468,13196.5,103.024538608797,0.121709630256139
8,0.475,0.06,"refined",1.00872479504914,0.00520089188247986,0.00872479504914403,0.0100232927416837,11266.2,120.171913893758,0.121795277839309
8,0.54,0,"coarse",0.990315529086141,0.00537005154843962,0.00968447091385893,0.0109427000850334,7978.9,89.6343808045898,0.150062363010208
8,0.54,0.03,"coarse",1.01021551215826,0.00664287748946075,0.0102155121582634,0.0120029882888226,7950.1,86.1322626352441,0.166970701849005
8,0.44,0.06,"refined",0.987203430784505,0.00472508387132887,0.0127965692154954,0.0135589807699158,13549.7,114.113053104756,0.262003493899145
8,0.435,0.06,"refined",0.986667203193679,0.00700458606112529,0.0133327968063214,0.0148970223191614,13908.4,113.610641129156,0.284421553085846
8,0.48,0.06,"refined",1.01343943705987,0.00503622477010782,0.0134394370598663,0.0142634383101568,10978.9,112.207595306398,0.288989549577771
8,0.485,0.06,"refined",1.01561962797685,0.00641113221563343,0.0156196279768515,0.0167620145803821,10689.9,94.6120147409056,0.390356445016385
8,0.49,0.06,"refined",1.01575432535382,0.00659475162729907,0.0157543253538173,0.0169511191806652,10402.9,101.716872849209,0.397118027766287
8,0.43,0.06,"refined",0.983316871350563,0.00571271482474638,0.0166831286494369,0.0175413335050574,14280.6,95.5187009031332,0.445322850453859
8,0.5,0.03,"coarse",0.982132637728096,0.00816116844658935,0.0178673622719043,0.0194727203525269,9921.6,86.9063352760379,0.510788215288752
8,0.495,0.06,"refined",1.02052500922634,0.00759594027733296,0.0205250092263374,0.0217532636992329,10125.3,88.147666509733,0.674041605985975
8,0.425,0.06,"refined",0.978397124316088,0.00438117065033363,0.0216028756839123,0.0219990779001116,14675.3,116.171377235913,0.74669478050331
8,0.5,0.06,"coarse",1.02346981550791,0.00565833342226834,0.0234698155079136,0.0240758655790671,9852.9,105.042266625286,0.881331583960803
8,0.58,0,"coarse",1.02644422573425,0.00436549163978597,0.0264442257342481,0.0267665619797389,6345,88.8469345435045,1.11887531949419
8,0.5,0,"coarse",0.963202940126951,0.00581435109931196,0.0367970598730487,0.0372081929974594,9935.1,91.1475604598268,2.16643778448117
8,0.46,0.03,"coarse",0.958210167599007,0.00649618635702265,0.0417898324009928,0.0422418096862541,12289.1,142.999961149956,2.7942241473649
8,0.58,0.03,"coarse",1.04417919752693,0.00495035483104986,0.0441791975269339,0.0444281094103925,6325.7,74.5461080286706,3.12288239059815
8,0.54,0.06,"coarse",1.04909728276487,0.00390338703566766,0.049097282764871,0.0492367338702406,7894.6,80.939209012416,3.85686907982992
9,0.46,0,"coarse",1.05357518106834,0.00514860455645725,0.0535751810683416,0.0537973730073921,13656.1,131.332021990069,4.59248004240894
8,0.46,0,"coarse",0.939547836337038,0.00346213858924424,0.060452163662962,0.0605413235301605,12304.2,120.283738625709,5.84714254645367
8,0.62,0,"coarse",1.06203747104272,0.00635415940354418,0.062037471042721,0.0623296528221482,4969.5,59.617763944799,6.1578365014023
9,0.46,0.03,"coarse",1.06540905667973,0.00654562286607277,0.0654090566797323,0.065703160932841,13597.3,134.423914869672,6.84535151317189
9,0.5,0,"coarse",1.07893284396846,0.00482750990321411,0.0789328439684605,0.0790655944366979,11057.5,105.575933705451,9.96863017111892
8,0.62,0.03,"coarse",1.08081753940039,0.00621970611395476,0.0808175394003867,0.0810326535691792,4968,64.085012981889,10.4503594795729
8,0.58,0.06,"coarse",1.08399802352104,0.00539821483964196,0.0839980235210431,0.0841539934082224,6278.2,78.7934007388944,11.2890687287067
9,0.46,0.06,"coarse",1.0885455019923,0.00482831967680497,0.0885455019923005,0.0886639009229787,13486.5,115.164857679956,12.5444894769096
9,0.5,0.03,"coarse",1.09329898653118,0.0053627498174705,0.093298986531178,0.0934375944938077,11039.7,110.097986660368,13.9275214203919
8,0.66,0,"coarse",1.1069092301319,0.00579324269339513,0.106909230131901,0.10705040393296,3855.3,39.6906090208307,18.2873335798332
9,0.54,0,"coarse",1.10912506397529,0.00507346857836687,0.109125063975288,0.10923115701431,8916,101.581931901736,19.0532473401772
9,0.5,0.06,"coarse",1.11552265312612,0.00913025979014757,0.115522653126115,0.115846919962288,10961.5,93.9861100848891,21.3527734164747
8,0.62,0.06,"coarse",1.11786202538882,0.00750706712233292,0.117862025388817,0.118076998098086,4930.7,55.1745714376952,22.2263312460067
9,0.54,0.03,"coarse",1.12071727283945,0.00502599475444284,0.120717272839447,0.120811400632299,8889.2,91.6476343878493,23.3162559388695
8,0.66,0.03,"coarse",1.1248097839995,0.00577301057177279,0.1248097839995,0.124929888609401,3853.4,40.6207390927891,24.9239714912029
9,0.54,0.06,"coarse",1.14175606344282,0.0054720887507499,0.141756063442817,0.141851087068695,8817.2,92.7179714091191,32.1516504364863
9,0.58,0,"coarse",1.14418344713737,0.00502781712994739,0.14418344713737,0.144262321757962,7100.2,98.398057794744,33.2621862854636
9,0.58,0.03,"coarse",1.15602692601682,0.00457518558680588,0.15602692601682,0.15608728562281,7074.8,105.122996744026,38.9510426276133
8,0.66,0.06,"coarse",1.16039938436406,0.00491323970176455,0.160399384364056,0.160467094559285,3831.4,42.2800189214716,41.1647400069889
9,0.58,0.06,"coarse",1.17670023493921,0.00482121601712358,0.17670023493921,0.176759420510103,7019.9,83.4538461932369,49.9567568441152
10,0.46,0,"coarse",1.18182915621586,0.00699992170656858,0.181829156215857,0.181950380773657,14749,132.207748974441,52.8989472802729
9,0.62,0,"coarse",1.18392786670389,0.00550616677421268,0.183927866703885,0.184002027802774,5586,73.0585761944178,54.1271362403874
10,0.46,0.03,"coarse",1.18935559581179,0.00562311333843339,0.189355595811787,0.18943072382402,14713.6,125.386690769883,57.3688666643792
9,0.62,0.03,"coarse",1.19210808722192,0.0060980053322143,0.192108087221919,0.192195172359227,5567.8,57.0454010221488,59.0488274817032
10,0.46,0.06,"coarse",1.19546020578926,0.00480212203399387,0.195460205789264,0.195513289537074,14586.7,128.385746872462,61.12750727549
10,0.5,0,"coarse",1.21201521651728,0.00595340345985116,0.212015216517284,0.212090430586462,12033.6,114.071322718143,71.9207232557931
10,0.5,0.03,"coarse",1.21670079317774,0.0071522891037783,0.216700793177736,0.216806995918816,11978.8,113.026840470159,75.1347740221762
9,0.62,0.06,"coarse",1.2167259099735,0.00696281119399924,0.216725909973504,0.2168265498494,5518.9,60.8156595330877,75.1521920861496
9,0.66,0,"coarse",1.22511443498442,0.0057696471606398,0.225114434984425,0.225180968964695,4332,49.8464308317724,81.0824141413707
10,0.5,0.06,"coarse",1.22513359659251,0.00661586779393172,0.225133596592509,0.225221067066735,11870.3,114.313457942041,81.0962181034859
9,0.66,0.03,"coarse",1.23636637041523,0.00649421520512319,0.236366370415228,0.236446650243319,4310,42.7395211328656,89.3904977012303
10,0.54,0,"coarse",1.24174378760553,0.00653150676540195,0.24174378760553,0.241823186167976,9698.4,93.5286052499448,93.5040941533885
10,0.54,0.03,"coarse",1.24973009181645,0.00601116628008154,0.249730091816454,0.249795195043252,9670.4,95.0475904189288,99.7841900138471
10,0.54,0.06,"coarse",1.2545457989763,0.00729296855730717,0.254545798976299,0.254639809196878,9580.7,93.9870558463593,103.669702042372
9,0.66,0.06,"coarse",1.25565095810762,0.00721521455338604,0.255650958107624,0.255742577155804,4288.8,44.9982715717442,104.571859810153
10,0.58,0,"coarse",1.27754354465947,0.00398371933204611,0.277543544659466,0.277569274596245,7743.2,98.5616558302467,123.248670691426
10,0.58,0.03,"coarse",1.28507708235615,0.00424127401829439,0.285077082356151,0.285105476007501,7723.1,98.5928214650765,130.030308615513
10,0.58,0.06,"coarse",1.29342774831253,0.00556937870419922,0.293427748312529,0.293475313546126,7660.6,104.265899400417,137.759749567618
10,0.62,0,"coarse",1.31640308138071,0.00425108949075596,0.316403081380713,0.316428782655565,6105.1,75.8557842224309,160.177455851536
10,0.62,0.03,"coarse",1.32419020193757,0.00373155038658146,0.324190201937567,0.324209529554236,6109,73.0372811955952,168.158859251712
10,0.62,0.06,"coarse",1.32996858062579,0.00679813181607359,0.329968580625788,0.330031600512386,6051.8,64.628511080207,174.206822720316
10,0.66,0,"coarse",1.3581953570797,0.0071578104506578,0.358195357079704,0.35825971676824,4752.7,52.3854305445067,205.28626213353
10,0.66,0.03,"coarse",1.36724024118509,0.00735097612111019,0.367240241185094,0.367306449590292,4747.7,53.0765694277826,215.784631593098
10,0.66,0.06,"coarse",1.37531385572359,0.0096790801421695,0.375313855723589,0.375426166417934,4722.9,46.770004632599,225.376784476972
