"vocabulary_size","stage","mean_alpha","sd_alpha","abs_alpha_bias","alpha_rmse","mean_vocabulary","sd_vocabulary","loss"
5180,"refined",0.991233093296519,0.00333230913978958,0.00876690670348113,0.00931946934810962,5016.8,11.3215625148553,0.122973845036068
4684,"refined",0.991188615051634,0.00354129778785833,0.00881138494836575,0.0094301227843728,4578,8.83176086632785,0.124224807533258
6295,"coarse",0.991120252075955,0.00291052350135109,0.00887974792404522,0.00929913735468564,5948.5,19.2426031964955,0.126159877111337
6334,"refined",0.991059439438022,0.00286457978043558,0.00894056056197756,0.00934445604350623,5978.3,19.5451045305752,0.127893797059822
3000,"coarse",0.991036535620699,0.00415547026311696,0.00896346437930096,0.00979208014039314,2990.3,2.5407785333546,0.128549909886395
4917,"coarse",0.991016411493786,0.00334320496950785,0.00898358850621361,0.00952702366798266,4786.8,10.6854002160788,0.129127779918357
7005,"refined",0.99101381090537,0.00271663631523788,0.00898618909463,0.00934845955367991,6496.8,21.493151363994,0.129202551111116
3133,"refined",0.990956427395741,0.00394849249092534,0.00904357260425859,0.00978865358996322,3119.8,2.89827534923789,0.130857928717594
4236,"refined",0.990899956638207,0.00341627134686981,0.00910004336179349,0.00965994865982321,4166.3,7.14998057495419,0.132497262698435
5728,"refined",0.990890736935453,0.00338993727855907,0.00910926306454718,0.00966028885988564,5483,14.8099065943487,0.132765877726598
2833,"refined",0.990749564796495,0.004279845406197,0.00925043520350521,0.0101022730355648,2825.5,3.40750805004348,0.136912882326798
3464,"refined",0.99070997763573,0.00405302247330207,0.00929002236427012,0.0100542929925888,3438.8,5.6332347131407,0.138087224845822
7746,"refined",0.990646635472367,0.00281556790991521,0.00935336452763291,0.00972728679419867,7052.2,23.6116731959239,0.139976684778851
8059,"coarse",0.990598597966942,0.0031056249671395,0.00940140203305795,0.0098522472553248,7280.1,23.4589475940892,0.141418176299498
14164,"refined",0.990528048307038,0.00455623172688256,0.00947195169296178,0.0104115892959695,10835.3,31.5420354447838,0.143548590198082
3841,"coarse",0.990415063837406,0.00431375025160819,0.00958493616259393,0.010422024676181,3798.2,8.39047078536121,0.146993601985601
3831,"refined",0.990380393787156,0.00430063193934229,0.0096196062128443,0.0104490533188473,3788.5,8.26303683749369,0.148058917904308
10474,"refined",0.990274213900784,0.00548484489684937,0.00972578609921582,0.0110302351033849,8858.7,42.0345096319679,0.151345464396319
10317,"coarse",0.990271555244354,0.0053557573417239,0.00972844475564638,0.0109753524042169,8764,40.1358803178514,0.151428219781862
35482,"coarse",0.990116241995579,0.00901406522897342,0.00988375800442121,0.0130696865703401,17272.8,62.5722693282646,0.156301875663936
12808,"refined",0.990066677242136,0.00481992834653972,0.00993332275786418,0.010935238422234,10160.9,35.4571729148153,0.157873441619044
13209,"coarse",0.98998758836987,0.00473699685117789,0.0100124116301301,0.010974680492043,10362.5,32.0112827331587,0.160397418641864
11583,"refined",0.989964693676254,0.00521749030751983,0.0100353063237463,0.0111896093591143,9494.7,40.3954067795943,0.161131796818275
9472,"refined",0.98987327741115,0.00521639875275571,0.0101267225888497,0.0112712130999505,8238.6,39.322597404885,0.164080816626431
8565,"refined",0.98968372167931,0.00509803349767023,0.0103162783206903,0.0113937065689342,7636.5,33.741665637606,0.17028095742391
45425,"coarse",0.98963974468922,0.00882647913915732,0.0103602553107797,0.0133210716798282,19019.8,68.1367905189423,0.171735824167261
58155,"coarse",0.989145158662432,0.00818026760785013,0.0108548413375681,0.0133436382140035,20757.8,61.9870954312266,0.188524128742043
74452,"coarse",0.988608417453966,0.00850027501720422,0.0113915825460336,0.0139569825082068,22485.2,77.3876246207651,0.207629044644954
95316,"coarse",0.988165116615301,0.00829724057189717,0.0118348833846991,0.0142135233396428,24160,99.9977777530859,0.224103143567082
21649,"coarse",0.988028124498637,0.00453307190854037,0.0119718755013626,0.012720836051743,13785,81.948493308636,0.229321284832201
16910,"coarse",0.987749048543066,0.0047740048150499,0.0122509514569342,0.0130613100942006,12056.2,52.042290495327,0.240137298560254
122026,"coarse",0.987720433565562,0.00874128089328098,0.012279566434438,0.0148174472938995,25758.3,98.1665817769865,0.24126040290844
27715,"coarse",0.98750669400219,0.0046004789308915,0.0124933059978095,0.0132336941369038,15544,85.372386896727,0.249732311607845
200000,"coarse",0.98562490476861,0.00701877220633559,0.01437509523139,0.0158423549344004,28799.1,110.585763600525,0.330629380658451
156222,"coarse",0.98507038430849,0.00660307811305468,0.0149296156915102,0.016190552838201,27294.4,109.655217234141,0.3566294795139
