"pair","diagnostic","auc","rank_effect","separation","rank_effect_lower","rank_effect_upper","ci_contains_zero","n_x","n_y","n_boot","conf_level"
"finite Zipf reference vs Zipf Markov control","alpha",0.8232,0.6464,0.6464,0.529868333333333,0.761931666666667,FALSE,100,100,2000,0.95
"finite Zipf reference vs Zipf Markov control","alpha_mle",0.7941,0.5882,0.5882,0.464936666666667,0.706263333333333,FALSE,100,100,2000,0.95
"finite Zipf reference vs Zipf Markov control","vocabulary",1,1,1,1,1,FALSE,100,100,2000,0.95
"finite Zipf reference vs Zipf Markov control","heaps_beta",0,-1,1,-1,-1,FALSE,100,100,2000,0.95
"finite Zipf reference vs Zipf Markov control","heaps_beta_change",0.0428,-0.9144,0.9144,-0.960395,-0.853,FALSE,100,100,2000,0.95
"finite Zipf reference vs Zipf Markov control","transition_toward_more_frequent",0.4504,-0.0992,0.0992,-0.256131666666667,0.0737316666666668,TRUE,100,100,2000,0.95
"finite Zipf reference vs Zipf Markov control","transition_nmi_excess",0,-1,1,-1,-1,FALSE,100,100,2000,0.95
"finite Zipf reference vs latent mixture","alpha",0.4939,-0.0122,0.0122,-0.196331666666667,0.173595,TRUE,100,100,2000,0.95
"finite Zipf reference vs latent mixture","alpha_mle",0.4132,-0.1736,0.1736,-0.351458333333333,0.0131216666666667,TRUE,100,100,2000,0.95
"finite Zipf reference vs latent mixture","vocabulary",0.98725,0.9745,0.9745,0.929834166666667,0.9996,FALSE,100,100,2000,0.95
"finite Zipf reference vs latent mixture","heaps_beta",0.3778,-0.2444,0.2444,-0.425795,-0.0558683333333333,FALSE,100,100,2000,0.95
"finite Zipf reference vs latent mixture","heaps_beta_change",0.4665,-0.067,0.067,-0.252995,0.126331666666667,TRUE,100,100,2000,0.95
"finite Zipf reference vs latent mixture","transition_toward_more_frequent",0.4372,-0.1256,0.1256,-0.282785,0.0340633333333333,TRUE,100,100,2000,0.95
"finite Zipf reference vs latent mixture","transition_nmi_excess",0.5154,0.0307999999999999,0.0307999999999999,-0.140531666666667,0.196331666666667,TRUE,100,100,2000,0.95
"finite Zipf reference vs sample-space reduction","alpha",0.4359,-0.1282,0.1282,-0.28779,0.036195,TRUE,100,100,2000,0.95
"finite Zipf reference vs sample-space reduction","alpha_mle",0.4348,-0.1304,0.1304,-0.292721666666667,0.0344,TRUE,100,100,2000,0.95
"finite Zipf reference vs sample-space reduction","vocabulary",0,-1,1,-1,-1,FALSE,100,100,2000,0.95
"finite Zipf reference vs sample-space reduction","heaps_beta",0.2865,-0.427,0.427,-0.568121666666667,-0.28401,FALSE,100,100,2000,0.95
"finite Zipf reference vs sample-space reduction","heaps_beta_change",0.4259,-0.1482,0.1482,-0.306926666666667,0.00780000000000003,TRUE,100,100,2000,0.95
"finite Zipf reference vs sample-space reduction","transition_toward_more_frequent",0,-1,1,-1,-1,FALSE,100,100,2000,0.95
"finite Zipf reference vs sample-space reduction","transition_nmi_excess",0,-1,1,-1,-1,FALSE,100,100,2000,0.95
"Zipf Markov control vs latent mixture","alpha",0.3827,-0.2346,0.2346,-0.404053333333333,-0.0598783333333334,FALSE,100,100,2000,0.95
"Zipf Markov control vs latent mixture","alpha_mle",0.341,-0.318,0.318,-0.483263333333333,-0.145741666666667,FALSE,100,100,2000,0.95
"Zipf Markov control vs latent mixture","vocabulary",0.0221,-0.9558,0.9558,-0.998065833333333,-0.8944,FALSE,100,100,2000,0.95
"Zipf Markov control vs latent mixture","heaps_beta",0.622,0.244,0.244,0.0608683333333333,0.424931666666667,FALSE,100,100,2000,0.95
"Zipf Markov control vs latent mixture","heaps_beta_change",0.5478,0.0955999999999999,0.0955999999999999,-0.095395,0.278463333333333,TRUE,100,100,2000,0.95
"Zipf Markov control vs latent mixture","transition_toward_more_frequent",0.4946,-0.0108,0.0108,-0.159258333333333,0.150931666666667,TRUE,100,100,2000,0.95
"Zipf Markov control vs latent mixture","transition_nmi_excess",1,1,1,1,1,FALSE,100,100,2000,0.95
"Zipf Markov control vs sample-space reduction","alpha",0.1487,-0.7026,0.7026,-0.800863333333333,-0.598536666666667,FALSE,100,100,2000,0.95
"Zipf Markov control vs sample-space reduction","alpha_mle",0.1577,-0.6846,0.6846,-0.785331666666667,-0.572805,FALSE,100,100,2000,0.95
"Zipf Markov control vs sample-space reduction","vocabulary",0,-1,1,-1,-1,FALSE,100,100,2000,0.95
"Zipf Markov control vs sample-space reduction","heaps_beta",1,1,1,1,1,FALSE,100,100,2000,0.95
"Zipf Markov control vs sample-space reduction","heaps_beta_change",0.9466,0.8932,0.8932,0.819878333333333,0.9516,FALSE,100,100,2000,0.95
"Zipf Markov control vs sample-space reduction","transition_toward_more_frequent",0,-1,1,-1,-1,FALSE,100,100,2000,0.95
"Zipf Markov control vs sample-space reduction","transition_nmi_excess",0,-1,1,-1,-1,FALSE,100,100,2000,0.95
"latent mixture vs sample-space reduction","alpha",0.4918,-0.0164,0.0164,-0.200931666666667,0.1684,TRUE,100,100,2000,0.95
"latent mixture vs sample-space reduction","alpha_mle",0.5743,0.1486,0.1486,-0.0408583333333333,0.324331666666667,TRUE,100,100,2000,0.95
"latent mixture vs sample-space reduction","vocabulary",0,-1,1,-1,-1,FALSE,100,100,2000,0.95
"latent mixture vs sample-space reduction","heaps_beta",0.6057,0.2114,0.2114,0.0223416666666667,0.398795,FALSE,100,100,2000,0.95
"latent mixture vs sample-space reduction","heaps_beta_change",0.5286,0.0571999999999999,0.0571999999999999,-0.13639,0.246131666666667,TRUE,100,100,2000,0.95
"latent mixture vs sample-space reduction","transition_toward_more_frequent",0,-1,1,-1,-1,FALSE,100,100,2000,0.95
"latent mixture vs sample-space reduction","transition_nmi_excess",0,-1,1,-1,-1,FALSE,100,100,2000,0.95
