"n","vocabulary","beta_local","beta_local_r2","generator","replicate","seed","benchmark"
500,223,0.709735394564392,0.996393124936322,"random segmentation",1,2001,"Zipf-compatible / mimicking"
584,241,0.709735394564392,0.996393124936322,"random segmentation",1,2001,"Zipf-compatible / mimicking"
683,266,0.709735394564392,0.996393124936322,"random segmentation",1,2001,"Zipf-compatible / mimicking"
798,302,0.709735394564392,0.996393124936322,"random segmentation",1,2001,"Zipf-compatible / mimicking"
933,342,0.734226943253176,0.999218111563065,"random segmentation",1,2001,"Zipf-compatible / mimicking"
1090,379,0.738698610688918,0.999318370172397,"random segmentation",1,2001,"Zipf-compatible / mimicking"
1274,426,0.732497768825435,0.999646831004162,"random segmentation",1,2001,"Zipf-compatible / mimicking"
1488,475,0.738034179596641,0.999470167132372,"random segmentation",1,2001,"Zipf-compatible / mimicking"
1739,535,0.757496299822432,0.999650111195164,"random segmentation",1,2001,"Zipf-compatible / mimicking"
2033,603,0.774327523220604,0.999419239160317,"random segmentation",1,2001,"Zipf-compatible / mimicking"
2375,680,0.78539997389668,0.999804277165698,"random segmentation",1,2001,"Zipf-compatible / mimicking"
2776,771,0.773780537318971,0.999117970032096,"random segmentation",1,2001,"Zipf-compatible / mimicking"
3244,878,0.767039526094715,0.999051438615831,"random segmentation",1,2001,"Zipf-compatible / mimicking"
3791,986,0.75191750545882,0.998920306410829,"random segmentation",1,2001,"Zipf-compatible / mimicking"
4431,1091,0.735997730738134,0.999323318677519,"random segmentation",1,2001,"Zipf-compatible / mimicking"
5178,1237,0.739180229186298,0.999076476341103,"random segmentation",1,2001,"Zipf-compatible / mimicking"
6051,1378,0.752439149083504,0.999016819897158,"random segmentation",1,2001,"Zipf-compatible / mimicking"
7071,1544,0.768232642549912,0.999489380245398,"random segmentation",1,2001,"Zipf-compatible / mimicking"
8263,1765,0.77773582319965,0.999331525813214,"random segmentation",1,2001,"Zipf-compatible / mimicking"
9657,1985,0.791229894322684,0.999784739419256,"random segmentation",1,2001,"Zipf-compatible / mimicking"
11285,2240,0.790021273671817,0.999751125171261,"random segmentation",1,2001,"Zipf-compatible / mimicking"
13188,2550,0.780212082877784,0.999835899207281,"random segmentation",1,2001,"Zipf-compatible / mimicking"
15412,2879,0.778439222777662,0.999810299775054,"random segmentation",1,2001,"Zipf-compatible / mimicking"
18011,3234,0.776870329916073,0.999834954540626,"random segmentation",1,2001,"Zipf-compatible / mimicking"
21049,3647,0.77491130762333,0.999888870239052,"random segmentation",1,2001,"Zipf-compatible / mimicking"
24598,4111,0.779031375304376,0.999895610625506,"random segmentation",1,2001,"Zipf-compatible / mimicking"
28746,4661,0.781481125554278,0.99994944683194,"random segmentation",1,2001,"Zipf-compatible / mimicking"
33594,5270,0.783017882854844,0.999953061360953,"random segmentation",1,2001,"Zipf-compatible / mimicking"
39259,5949,0.78108300285352,0.999942632985159,"random segmentation",1,2001,"Zipf-compatible / mimicking"
45879,6695,0.773963668823802,0.99994025957797,"random segmentation",1,2001,"Zipf-compatible / mimicking"
53616,7586,0.7693344131842,0.999935004797156,"random segmentation",1,2001,"Zipf-compatible / mimicking"
62657,8544,0.766792979935581,0.999939329003132,"random segmentation",1,2001,"Zipf-compatible / mimicking"
73223,9600,0.766792979935581,0.999939329003132,"random segmentation",1,2001,"Zipf-compatible / mimicking"
85570,10812,0.766792979935581,0.999939329003132,"random segmentation",1,2001,"Zipf-compatible / mimicking"
100000,12188,0.766792979935581,0.999939329003132,"random segmentation",1,2001,"Zipf-compatible / mimicking"
500,23,0.970247978453628,0.989714669452998,"Simon reinforcement",1,2001,"Zipf-compatible / mimicking"
584,29,0.970247978453628,0.989714669452998,"Simon reinforcement",1,2001,"Zipf-compatible / mimicking"
