"n","vocabulary","beta_local","beta_local_r2","generator","replicate","seed","benchmark"
500,274,0.763827898622776,0.99847716811806,"finite Zipf reference",1,2001,"strict equifinality"
584,313,0.763827898622776,0.99847716811806,"finite Zipf reference",1,2001,"strict equifinality"
683,353,0.763827898622776,0.99847716811806,"finite Zipf reference",1,2001,"strict equifinality"
798,402,0.763827898622776,0.99847716811806,"finite Zipf reference",1,2001,"strict equifinality"
933,443,0.7555929838687,0.998882904518417,"finite Zipf reference",1,2001,"strict equifinality"
1090,496,0.754286231865159,0.998887140480521,"finite Zipf reference",1,2001,"strict equifinality"
1274,568,0.747892574473045,0.998766367223734,"finite Zipf reference",1,2001,"strict equifinality"
1488,638,0.75868156523425,0.999298411694286,"finite Zipf reference",1,2001,"strict equifinality"
1739,715,0.744063997580987,0.998977183287704,"finite Zipf reference",1,2001,"strict equifinality"
2033,797,0.727888977376195,0.99979235255173,"finite Zipf reference",1,2001,"strict equifinality"
2375,901,0.732864165735727,0.999642840945131,"finite Zipf reference",1,2001,"strict equifinality"
2776,999,0.735267453588934,0.999664229651739,"finite Zipf reference",1,2001,"strict equifinality"
3244,1124,0.723433240947942,0.998925850047137,"finite Zipf reference",1,2001,"strict equifinality"
3791,1271,0.69422366185783,0.99730295305007,"finite Zipf reference",1,2001,"strict equifinality"
4431,1418,0.664291784951416,0.995049301406289,"finite Zipf reference",1,2001,"strict equifinality"
5178,1557,0.62431147617374,0.995928000461113,"finite Zipf reference",1,2001,"strict equifinality"
6051,1703,0.592070466305263,0.998953450874613,"finite Zipf reference",1,2001,"strict equifinality"
7071,1860,0.574826476643928,0.999922886266614,"finite Zipf reference",1,2001,"strict equifinality"
8263,2034,0.560502899719164,0.99932373099446,"finite Zipf reference",1,2001,"strict equifinality"
9657,2228,0.547423920836841,0.998924536141501,"finite Zipf reference",1,2001,"strict equifinality"
11285,2428,0.527525255023324,0.998083686953376,"finite Zipf reference",1,2001,"strict equifinality"
13188,2615,0.503858830237554,0.997923879554626,"finite Zipf reference",1,2001,"strict equifinality"
15412,2836,0.47590810514404,0.997875936299018,"finite Zipf reference",1,2001,"strict equifinality"
18011,3043,0.447254125344205,0.996728089476556,"finite Zipf reference",1,2001,"strict equifinality"
21049,3265,0.422592420241881,0.995750292655235,"finite Zipf reference",1,2001,"strict equifinality"
24598,3474,0.392197668834183,0.996361595954283,"finite Zipf reference",1,2001,"strict equifinality"
28746,3674,0.362450108481551,0.994663787159831,"finite Zipf reference",1,2001,"strict equifinality"
33594,3893,0.325425503986271,0.990336985084371,"finite Zipf reference",1,2001,"strict equifinality"
39259,4093,0.292136691495904,0.986722728552295,"finite Zipf reference",1,2001,"strict equifinality"
45879,4269,0.256520323903924,0.982051135237134,"finite Zipf reference",1,2001,"strict equifinality"
53616,4407,0.217349022498072,0.980487227889643,"finite Zipf reference",1,2001,"strict equifinality"
62657,4564,0.182603897773538,0.977464119949656,"finite Zipf reference",1,2001,"strict equifinality"
73223,4682,0.182603897773538,0.977464119949656,"finite Zipf reference",1,2001,"strict equifinality"
85570,4775,0.182603897773538,0.977464119949656,"finite Zipf reference",1,2001,"strict equifinality"
100000,4855,0.182603897773538,0.977464119949656,"finite Zipf reference",1,2001,"strict equifinality"
500,189,0.771303410385392,0.998779358035844,"Zipf Markov control",1,2001,"strict equifinality"
584,215,0.771303410385392,0.998779358035844,"Zipf Markov control",1,2001,"strict equifinality"
683,244,0.771303410385392,0.998779358035844,"Zipf Markov control",1,2001,"strict equifinality"
798,278,0.771303410385392,0.998779358035844,"Zipf Markov control",1,2001,"strict equifinality"
933,311,0.761957376223455,0.999212422863869,"Zipf Markov control",1,2001,"strict equifinality"
1090,346,0.757680855058671,0.999377748648149,"Zipf Markov control",1,2001,"strict equifinality"
1274,390,0.767252869427455,0.998893848306642,"Zipf Markov control",1,2001,"strict equifinality"
1488,443,0.784080115993553,0.999391614529686,"Zipf Markov control",1,2001,"strict equifinality"
1739,499,0.789320704248192,0.999704258238421,"Zipf Markov control",1,2001,"strict equifinality"
2033,570,0.782350366817399,0.999564268387658,"Zipf Markov control",1,2001,"strict equifinality"
2375,642,0.7617270215382,0.999101656338248,"Zipf Markov control",1,2001,"strict equifinality"
2776,719,0.74202243023719,0.998839988277326,"Zipf Markov control",1,2001,"strict equifinality"
