"top_k","transition_nmi","surrogate_nmi","transition_nmi_excess","transition_nmi_z","generator","replicate","seed","benchmark"
25,0.00165015332521854,0.00179091989799736,-0.000140766572778824,-1.44142515924278,"finite Zipf reference",1,2001,"strict equifinality"
50,0.00595617457393547,0.00599425541266643,-3.80808387309677e-05,-0.240861668047278,"finite Zipf reference",1,2001,"strict equifinality"
100,0.0172416925274195,0.0175682134617545,-0.000326520934335002,-1.65551010600314,"finite Zipf reference",1,2001,"strict equifinality"
25,0.180897930845656,0.00190944835834275,0.178988482487314,1851.43250755492,"Zipf Markov control",1,2001,"strict equifinality"
50,0.196229098087768,0.0061961397006985,0.190032958387069,1014.99412342509,"Zipf Markov control",1,2001,"strict equifinality"
100,0.219316317713095,0.017935753781183,0.201380563931912,1226.39088698535,"Zipf Markov control",1,2001,"strict equifinality"
25,0.209726602007423,0.208861463813868,0.000865138193555548,1.13236503375859,"latent mixture",1,2001,"strict equifinality"
50,0.193260695739978,0.192886731612344,0.000373964127633575,0.574445522360247,"latent mixture",1,2001,"strict equifinality"
100,0.188698109202273,0.187805595329852,0.000892513872420564,1.48838124427387,"latent mixture",1,2001,"strict equifinality"
25,0.3935491761929,0.0132934047143259,0.380255771478574,2599.63528001466,"sample-space reduction",1,2001,"strict equifinality"
50,0.36641915077709,0.0157474627744573,0.350671688002633,1503.73797282826,"sample-space reduction",1,2001,"strict equifinality"
100,0.347511435371978,0.0265667814917959,0.320944653880182,1323.69430671296,"sample-space reduction",1,2001,"strict equifinality"
25,0.00184400790978757,0.00178857683627091,5.54310735166592e-05,0.505495939061108,"finite Zipf reference",2,2002,"strict equifinality"
50,0.00597965174136771,0.00596122295097329,1.84287903944157e-05,0.109066911622924,"finite Zipf reference",2,2002,"strict equifinality"
100,0.0175505969374581,0.0174536631511202,9.69337863379709e-05,0.384121772982234,"finite Zipf reference",2,2002,"strict equifinality"
25,0.178785131713272,0.00192769647474579,0.176857435238526,1887.35113719066,"Zipf Markov control",2,2002,"strict equifinality"
50,0.194876833576641,0.0061338793116614,0.18874295426498,1437.38092662676,"Zipf Markov control",2,2002,"strict equifinality"
100,0.218620833945249,0.0178131095770397,0.200807724368209,958.473221723815,"Zipf Markov control",2,2002,"strict equifinality"
25,0.198775741726009,0.198914851430059,-0.000139109704050649,-0.215564904871051,"latent mixture",2,2002,"strict equifinality"
50,0.186344201552516,0.186032106495706,0.000312095056810041,0.600425605189833,"latent mixture",2,2002,"strict equifinality"
100,0.185479053406433,0.185499231956946,-2.01785505125063e-05,-0.0434583186550713,"latent mixture",2,2002,"strict equifinality"
25,0.393454290608398,0.0132406050805915,0.380213685527806,2846.29959808489,"sample-space reduction",2,2002,"strict equifinality"
50,0.367160676966419,0.0156633338691952,0.351497343097224,1794.37618654311,"sample-space reduction",2,2002,"strict equifinality"
100,0.34735274192352,0.0265121539789645,0.320840587944556,1147.57111597818,"sample-space reduction",2,2002,"strict equifinality"
25,0.00188433841720515,0.0017782137857349,0.000106124631470248,1.51197588111947,"finite Zipf reference",3,2003,"strict equifinality"
50,0.0060973833452938,0.00596595725782352,0.00013142608747028,0.807839307240699,"finite Zipf reference",3,2003,"strict equifinality"
100,0.0176472546301921,0.0175865912750309,6.06633551611911e-05,0.34128731806575,"finite Zipf reference",3,2003,"strict equifinality"
25,0.176151516376206,0.00192834571451448,0.174223170661691,1902.63392310067,"Zipf Markov control",3,2003,"strict equifinality"
50,0.192785163144788,0.00622713853113893,0.186558024613649,1012.97126574182,"Zipf Markov control",3,2003,"strict equifinality"
100,0.214908341610795,0.0179775517097851,0.19693078990101,759.717199392595,"Zipf Markov control",3,2003,"strict equifinality"
25,0.200172978173536,0.200920247968231,-0.00074726979469486,-1.3650681648503,"latent mixture",3,2003,"strict equifinality"
50,0.188670103902466,0.1896302025827,-0.000960098680233501,-1.82798259771207,"latent mixture",3,2003,"strict equifinality"
100,0.18746195445599,0.187667855405945,-0.000205900949955318,-0.391673114304648,"latent mixture",3,2003,"strict equifinality"
25,0.389875743706094,0.0133070041207349,0.37656873958536,2950.55762479797,"sample-space reduction",3,2003,"strict equifinality"
50,0.365843738964308,0.0157771940024777,0.350066544961831,2401.99928979561,"sample-space reduction",3,2003,"strict equifinality"
100,0.345413269676444,0.0265648740083646,0.318848395668079,1980.16174564996,"sample-space reduction",3,2003,"strict equifinality"
25,0.0021874470468821,0.00181249258192727,0.000374954464954825,4.78320994223728,"finite Zipf reference",4,2004,"strict equifinality"
50,0.00634536427569878,0.00598334359166525,0.000362020684033527,2.364533029472,"finite Zipf reference",4,2004,"strict equifinality"
100,0.0178138275688295,0.0175193009011973,0.000294526667632158,2.07499928723816,"finite Zipf reference",4,2004,"strict equifinality"
25,0.178150248853483,0.00188065433533009,0.176269594518153,2010.94042885245,"Zipf Markov control",4,2004,"strict equifinality"
50,0.193588558448308,0.00615846397650834,0.1874300944718,1197.48903372221,"Zipf Markov control",4,2004,"strict equifinality"
100,0.214814684332608,0.0178810827153266,0.196933601617281,915.807723420488,"Zipf Markov control",4,2004,"strict equifinality"
25,0.209935884439431,0.210277293637451,-0.00034140919802006,-0.468544235955673,"latent mixture",4,2004,"strict equifinality"
50,0.193181968114187,0.192863615086272,0.000318353027914442,0.521133586895836,"latent mixture",4,2004,"strict equifinality"
100,0.188030646063517,0.188070378260825,-3.97321973084341e-05,-0.088936598769562,"latent mixture",4,2004,"strict equifinality"
25,0.392004811330873,0.0133224391566443,0.378682372174228,3641.24225124049,"sample-space reduction",4,2004,"strict equifinality"
50,0.366470949730917,0.0157356072053945,0.350735342525523,2756.83457335745,"sample-space reduction",4,2004,"strict equifinality"
100,0.346463450624298,0.0265249572430567,0.319938493381241,1251.14259000932,"sample-space reduction",4,2004,"strict equifinality"
25,0.00195773033128571,0.00179631937932675,0.000161410951958962,1.55989550038789,"finite Zipf reference",5,2005,"strict equifinality"
50,0.00616199416472482,0.00603677274825196,0.000125221416472858,0.670660463507628,"finite Zipf reference",5,2005,"strict equifinality"
100,0.0176768483506086,0.0175458745738538,0.000130973776754743,0.554946393475954,"finite Zipf reference",5,2005,"strict equifinality"
25,0.179068563551788,0.00194319239709917,0.177125371154689,1524.99756561327,"Zipf Markov control",5,2005,"strict equifinality"
50,0.194728173479298,0.00619534211050246,0.188532831368796,1226.15479957754,"Zipf Markov control",5,2005,"strict equifinality"
100,0.21450579564082,0.0177720709241848,0.196733724716635,1069.55598534464,"Zipf Markov control",5,2005,"strict equifinality"
25,0.215590236624365,0.214720209720147,0.000870026904218058,1.21038396284575,"latent mixture",5,2005,"strict equifinality"
50,0.204105270189825,0.203902786746231,0.000202483443593471,0.35278716798527,"latent mixture",5,2005,"strict equifinality"
100,0.201076366441008,0.20086502653203,0.000211339908977648,0.345884833005821,"latent mixture",5,2005,"strict equifinality"
25,0.390217024895631,0.013367584470815,0.376849440424816,3089.59729103386,"sample-space reduction",5,2005,"strict equifinality"
50,0.364965525422594,0.0157930570410766,0.349172468381518,1951.1603336629,"sample-space reduction",5,2005,"strict equifinality"
100,0.344966998648732,0.0265281575827716,0.31843884106596,1655.85091644661,"sample-space reduction",5,2005,"strict equifinality"
25,0.00177662266831296,0.00178833147896663,-1.17088106536692e-05,-0.17254790015949,"finite Zipf reference",6,2006,"strict equifinality"
50,0.00598206721890202,0.0059662112229051,1.58559959969207e-05,0.08926489540476,"finite Zipf reference",6,2006,"strict equifinality"
100,0.0178544067027318,0.0175505926304259,0.000303814072305984,1.33901621653087,"finite Zipf reference",6,2006,"strict equifinality"
25,0.180549937710631,0.00192383553531733,0.178626102175313,1448.98471791601,"Zipf Markov control",6,2006,"strict equifinality"
50,0.196413896047774,0.00618594417984858,0.190227951867925,1145.86779365503,"Zipf Markov control",6,2006,"strict equifinality"
100,0.216800363036731,0.0177437074718849,0.199056655564846,1047.96918743351,"Zipf Markov control",6,2006,"strict equifinality"
25,0.221776743674499,0.221036264008967,0.000740479665532451,1.02967063494425,"latent mixture",6,2006,"strict equifinality"
50,0.204292343942759,0.204046554554003,0.000245789388756079,0.399531183009522,"latent mixture",6,2006,"strict equifinality"
100,0.196940301577368,0.196974831032337,-3.45294549694009e-05,-0.0654196162823581,"latent mixture",6,2006,"strict equifinality"
25,0.389878042734025,0.0133609671689989,0.376517075565026,2690.80264625375,"sample-space reduction",6,2006,"strict equifinality"
50,0.365946225197309,0.0158071518088893,0.35013907338842,1865.10508758413,"sample-space reduction",6,2006,"strict equifinality"
100,0.346078362798613,0.026601123476011,0.319477239322603,1477.60450027329,"sample-space reduction",6,2006,"strict equifinality"
25,0.00179812534996248,0.00176391961205403,3.42057379084525e-05,0.30490456284498,"finite Zipf reference",7,2007,"strict equifinality"
50,0.0059863576687051,0.00595840598532969,2.7951683375411e-05,0.231196993376671,"finite Zipf reference",7,2007,"strict equifinality"
100,0.017520137186036,0.0174856435205476,3.44936654883624e-05,0.198100311446557,"finite Zipf reference",7,2007,"strict equifinality"
25,0.180283342903611,0.00191400707166482,0.178369335831946,1339.85685399618,"Zipf Markov control",7,2007,"strict equifinality"
50,0.195203378903173,0.00619060387054608,0.189012775032627,955.140564124035,"Zipf Markov control",7,2007,"strict equifinality"
100,0.215460196835444,0.0179017773164496,0.197558419518994,859.748814758181,"Zipf Markov control",7,2007,"strict equifinality"
25,0.211000010844927,0.210816117003013,0.000183893841914279,0.301890694318735,"latent mixture",7,2007,"strict equifinality"
50,0.197951326404086,0.197619052680115,0.000332273723971349,0.616259035384225,"latent mixture",7,2007,"strict equifinality"
100,0.192884057452829,0.192946212759852,-6.21553070227765e-05,-0.138499111864573,"latent mixture",7,2007,"strict equifinality"
25,0.391250387295664,0.0131819694917151,0.378068417803949,4150.97976202296,"sample-space reduction",7,2007,"strict equifinality"
50,0.365130698821081,0.0156040373558122,0.349526661465269,1816.14524248714,"sample-space reduction",7,2007,"strict equifinality"
100,0.346310601204159,0.0263564423703391,0.31995415883382,1109.46139673448,"sample-space reduction",7,2007,"strict equifinality"
25,0.00184065014349981,0.00172944875563752,0.000111201387862292,0.981840156175981,"finite Zipf reference",8,2008,"strict equifinality"
50,0.00625952317345968,0.00593899116350494,0.000320532009954745,2.06999986236635,"finite Zipf reference",8,2008,"strict equifinality"
100,0.0177902924283135,0.0173945417723019,0.000395750656011617,2.3320777898122,"finite Zipf reference",8,2008,"strict equifinality"
25,0.177579044747234,0.00190773854226631,0.175671306204968,1914.15548127531,"Zipf Markov control",8,2008,"strict equifinality"
50,0.19424061037413,0.00619545024399751,0.188045160130133,1313.5821930481,"Zipf Markov control",8,2008,"strict equifinality"
100,0.216237816890532,0.0179077967326822,0.19833002015785,943.928787680356,"Zipf Markov control",8,2008,"strict equifinality"
25,0.2082354838287,0.208625324883474,-0.000389841054774603,-0.731305902071379,"latent mixture",8,2008,"strict equifinality"
50,0.193526253766173,0.19340810670027,0.000118147065903684,0.195842244267519,"latent mixture",8,2008,"strict equifinality"
100,0.186996610700967,0.187021347960035,-2.47372590676809e-05,-0.0378697375443587,"latent mixture",8,2008,"strict equifinality"
25,0.390256106817594,0.0132594931774239,0.37699661364017,2861.08846998037,"sample-space reduction",8,2008,"strict equifinality"
50,0.364801161461689,0.0157195737579853,0.349081587703703,1480.14077389416,"sample-space reduction",8,2008,"strict equifinality"
100,0.346540997082316,0.0266040548300941,0.319936942252222,1325.57500806253,"sample-space reduction",8,2008,"strict equifinality"
25,0.00176263636283291,0.00176455258489113,-1.91622205822405e-06,-0.0193665443501128,"finite Zipf reference",9,2009,"strict equifinality"
50,0.00591272627317066,0.00606688066332674,-0.000154154390156079,-0.961285571253348,"finite Zipf reference",9,2009,"strict equifinality"
100,0.0174143880057561,0.0175739398777936,-0.000159551872037495,-0.884469791887559,"finite Zipf reference",9,2009,"strict equifinality"
25,0.176099680982589,0.00189201015446905,0.17420767082812,1800.53863860971,"Zipf Markov control",9,2009,"strict equifinality"
50,0.194017148917609,0.00618852946419442,0.187828619453415,1284.12246258318,"Zipf Markov control",9,2009,"strict equifinality"
100,0.21556821146307,0.0178998144175727,0.197668397045497,884.799202273597,"Zipf Markov control",9,2009,"strict equifinality"
25,0.222659099839756,0.222546479524926,0.00011262031483017,0.194188177811199,"latent mixture",9,2009,"strict equifinality"
50,0.205215484636688,0.20516752175841,4.79628782781572e-05,0.107516921395657,"latent mixture",9,2009,"strict equifinality"
100,0.19788354689109,0.198059474804858,-0.000175927913767998,-0.350818836930245,"latent mixture",9,2009,"strict equifinality"
25,0.392239432259645,0.0132515343280926,0.378987897931552,2901.34576657316,"sample-space reduction",9,2009,"strict equifinality"
50,0.366461512678113,0.0157355932078873,0.350725919470225,1910.93275407149,"sample-space reduction",9,2009,"strict equifinality"
100,0.346597088118275,0.0265157652987052,0.32008132281957,1343.84927645787,"sample-space reduction",9,2009,"strict equifinality"
25,0.00189065577555251,0.00182285894022586,6.779683532665e-05,0.836749687619704,"finite Zipf reference",10,2010,"strict equifinality"
50,0.00595482347317587,0.00601226546161018,-5.74419884343084e-05,-0.395976623464662,"finite Zipf reference",10,2010,"strict equifinality"
100,0.0175999001861109,0.0175362250678394,6.36751182715237e-05,0.326127643421426,"finite Zipf reference",10,2010,"strict equifinality"
25,0.175372714462853,0.00190790274198433,0.173464811720868,1407.67731529255,"Zipf Markov control",10,2010,"strict equifinality"
50,0.191611192261488,0.0062275386307927,0.185383653630695,1032.32257389863,"Zipf Markov control",10,2010,"strict equifinality"
100,0.213422912542087,0.0178791639251731,0.195543748616914,1233.07815074488,"Zipf Markov control",10,2010,"strict equifinality"
25,0.20232774652776,0.202146571557413,0.000181174970346837,0.240978735479831,"latent mixture",10,2010,"strict equifinality"
50,0.191365985770802,0.191520076300015,-0.000154090529212975,-0.223314879394548,"latent mixture",10,2010,"strict equifinality"
100,0.190617104989314,0.190948938188855,-0.000331833199541859,-0.600299147578359,"latent mixture",10,2010,"strict equifinality"
25,0.391452627814806,0.0131758537753955,0.378276774039411,4374.52356466906,"sample-space reduction",10,2010,"strict equifinality"
50,0.365779335373328,0.0156804437856976,0.35009889158763,2886.5726015555,"sample-space reduction",10,2010,"strict equifinality"
100,0.346058698601149,0.0265183039395855,0.319540394661563,1531.49939350138,"sample-space reduction",10,2010,"strict equifinality"
25,0.00169498344343578,0.0017935172589768,-9.85338155410165e-05,-0.965454239339963,"finite Zipf reference",11,2011,"strict equifinality"
50,0.00595514028164505,0.00601377122771114,-5.86309460660853e-05,-0.35769409001081,"finite Zipf reference",11,2011,"strict equifinality"
100,0.0179115243477905,0.0176740267492698,0.000237497598520743,1.08581209919224,"finite Zipf reference",11,2011,"strict equifinality"
25,0.179143434626404,0.00189199962202307,0.177251435004381,1750.86704439096,"Zipf Markov control",11,2011,"strict equifinality"
50,0.196625138802933,0.00619253970994309,0.19043259909299,968.943188294516,"Zipf Markov control",11,2011,"strict equifinality"
100,0.218283677590575,0.0179080623026804,0.200375615287895,815.024847402857,"Zipf Markov control",11,2011,"strict equifinality"
25,0.21214614319381,0.212181484690417,-3.53414966075272e-05,-0.0534060865922335,"latent mixture",11,2011,"strict equifinality"
50,0.199289620570581,0.199513419614146,-0.000223799043564843,-0.442747031107573,"latent mixture",11,2011,"strict equifinality"
100,0.194609113140336,0.194755180301145,-0.000146067160808755,-0.309987463298445,"latent mixture",11,2011,"strict equifinality"
25,0.392660185046607,0.0133267097510361,0.379333475295571,2877.34917474874,"sample-space reduction",11,2011,"strict equifinality"
