generator,r_min,alpha_mean,alpha_sd,alpha_mle_mean,alpha_mle_sd
finite Zipf reference,1,0.9934,0.0038,0.9979,0.0018
finite Zipf reference,5,0.9925,0.0044,0.9955,0.003
finite Zipf reference,10,0.992,0.0051,0.9946,0.0041
finite Zipf reference,20,0.9912,0.0059,0.9934,0.0048
finite Zipf reference,50,0.9895,0.0088,0.9915,0.0088
finite Zipf reference,100,0.9873,0.0141,0.9888,0.0132
latent mixture,1,1.0055,0.0251,1.0476,0.0226
latent mixture,5,0.9978,0.0286,1.014,0.0254
latent mixture,10,0.9944,0.0315,1.0044,0.0286
latent mixture,20,0.9911,0.0356,0.9979,0.0338
latent mixture,50,0.9856,0.0429,0.9888,0.0415
latent mixture,100,0.9812,0.0492,0.9828,0.0485
sample-space reduction,1,0.9943,0.0042,0.9977,0.0013
sample-space reduction,5,0.9937,0.0048,0.9964,0.0026
sample-space reduction,10,0.9932,0.0055,0.9955,0.0036
sample-space reduction,20,0.9924,0.0066,0.9939,0.0056
sample-space reduction,50,0.991,0.0091,0.9917,0.0077
sample-space reduction,100,0.9901,0.0141,0.9907,0.0136
Zipf Markov control,1,0.9869,0.0049,0.9953,0.0025
Zipf Markov control,5,0.9854,0.0057,0.9917,0.0038
Zipf Markov control,10,0.9842,0.0065,0.9893,0.0047
Zipf Markov control,20,0.9826,0.008,0.9867,0.0069
Zipf Markov control,50,0.9794,0.0116,0.9827,0.0115
Zipf Markov control,100,0.9753,0.0187,0.9776,0.017
