"generator","r_max","alpha_lower","alpha_median","alpha_upper","effective_r_max_lower","effective_r_max_median","effective_r_max_upper","n_fit_median","n_rep"
"finite Zipf reference",300,0.986900069345765,0.994243328332676,1.0038439041017,300,300,300,291,100
"finite Zipf reference",500,0.985191663668748,0.991594031561516,0.998739286531525,500,500,500,491,100
"finite Zipf reference",1000,0.978658677301534,0.98617266157098,0.990877434177533,1000,1000,1000,991,100
"finite Zipf reference",2000,0.973105732891097,0.978728852608575,0.983271440143204,2000,2000,2000,1991,100
"finite Zipf reference",3000,0.967559621684238,0.972247027120001,0.976628315784291,2581.73333333333,2610,2636.63333333333,2601,100
"latent mixture",300,0.961012033435017,0.997088130187608,1.04304834222481,300,300,300,291,100
"latent mixture",500,0.958206535543014,0.991890484414768,1.03687291247015,500,500,500,491,100
"latent mixture",1000,0.950672431346475,0.985614541773125,1.0245885692633,1000,1000,1000,991,100
"latent mixture",2000,0.949590813395344,0.978621943858798,1.03241614136307,2000,2000,2000,1991,100
"latent mixture",3000,0.949505011402239,0.978854977558693,1.03001057121626,2167.13333333333,2375.5,2543.16666666667,2366.5,100
"random segmentation",300,1.19185193921384,1.20103056815916,1.20964756813996,300,300,300,291,100
"random segmentation",500,0.989013693812046,0.997936073056983,1.00599542129294,500,500,500,491,100
"random segmentation",1000,1.17585691322807,1.18547775147705,1.19458082185126,748.733333333333,766,781,757,100
"random segmentation",2000,1.17585691322807,1.18547775147705,1.19458082185126,748.733333333333,766,781,757,100
"random segmentation",3000,1.17585691322807,1.18547775147705,1.19458082185126,748.733333333333,766,781,757,100
"sample-space reduction",300,0.988335623242104,0.994374508722154,1.0031316454491,300,300,300,291,100
"sample-space reduction",500,0.986724238807723,0.993014547931274,1.00034304709905,500,500,500,491,100
"sample-space reduction",1000,0.981606561605797,0.986324977658846,0.992736261822508,1000,1000,1000,991,100
"sample-space reduction",2000,0.97317930861006,0.97800481473771,0.983001176706235,2000,2000,2000,1991,100
"sample-space reduction",3000,0.96585322226353,0.970242213791876,0.975933370599321,2587.36666666667,2621,2650.63333333333,2612,100
"Simon reinforcement",300,0.926109003380997,0.989279123233177,1.06184386164897,300,300,300,291,100
"Simon reinforcement",500,0.932620425263265,0.986407809689579,1.04112493065537,500,500,500,491,100
"Simon reinforcement",1000,0.94450221676161,0.989674124338916,1.02997461494194,803.366666666667,847,885.9,838,100
"Simon reinforcement",2000,0.94450221676161,0.989674124338916,1.02997461494194,803.366666666667,847,885.9,838,100
"Simon reinforcement",3000,0.94450221676161,0.989674124338916,1.02997461494194,803.366666666667,847,885.9,838,100
"Zipf Markov control",300,0.979046720204768,0.988368752987286,1.00249930292607,300,300,300,291,100
"Zipf Markov control",500,0.976250874266856,0.983675471068084,0.992454602473246,500,500,500,491,100
"Zipf Markov control",1000,0.964641901088594,0.972272928749657,0.981684647808053,1000,1000,1000,991,100
"Zipf Markov control",2000,0.953332470433239,0.960461402446778,0.967798100039499,2000,2000,2000,1991,100
"Zipf Markov control",3000,0.958849231059655,0.964932335071711,0.97111308495477,2553,2589,2626.16666666667,2580,100
