"pair","diagnostic","rank_effect","rank_effect_lower","rank_effect_upper","separation","ci_contains_zero","n_x","n_y"
"finite Zipf reference vs Zipf Markov control","alpha",0.646,0.53,0.762,0.646,FALSE,100,100
"finite Zipf reference vs Zipf Markov control","alpha_mle",0.588,0.465,0.706,0.588,FALSE,100,100
"finite Zipf reference vs Zipf Markov control","transition_toward_more_frequent",-0.099,-0.256,0.074,0.099,TRUE,100,100
"finite Zipf reference vs Zipf Markov control","transition_nmi_excess",-1,-1,-1,1,FALSE,100,100
"finite Zipf reference vs latent mixture","alpha",-0.012,-0.196,0.174,0.012,TRUE,100,100
"finite Zipf reference vs latent mixture","alpha_mle",-0.174,-0.351,0.013,0.174,TRUE,100,100
"finite Zipf reference vs latent mixture","transition_toward_more_frequent",-0.126,-0.283,0.034,0.126,TRUE,100,100
"finite Zipf reference vs latent mixture","transition_nmi_excess",0.031,-0.141,0.196,0.031,TRUE,100,100
"finite Zipf reference vs sample-space reduction","alpha",-0.128,-0.288,0.036,0.128,TRUE,100,100
"finite Zipf reference vs sample-space reduction","alpha_mle",-0.13,-0.293,0.034,0.13,TRUE,100,100
"finite Zipf reference vs sample-space reduction","transition_toward_more_frequent",-1,-1,-1,1,FALSE,100,100
"finite Zipf reference vs sample-space reduction","transition_nmi_excess",-1,-1,-1,1,FALSE,100,100
"Zipf Markov control vs latent mixture","alpha",-0.235,-0.404,-0.06,0.235,FALSE,100,100
"Zipf Markov control vs latent mixture","alpha_mle",-0.318,-0.483,-0.146,0.318,FALSE,100,100
"Zipf Markov control vs latent mixture","transition_toward_more_frequent",-0.011,-0.159,0.151,0.011,TRUE,100,100
"Zipf Markov control vs latent mixture","transition_nmi_excess",1,1,1,1,FALSE,100,100
"Zipf Markov control vs sample-space reduction","alpha",-0.703,-0.801,-0.599,0.703,FALSE,100,100
"Zipf Markov control vs sample-space reduction","alpha_mle",-0.685,-0.785,-0.573,0.685,FALSE,100,100
"Zipf Markov control vs sample-space reduction","transition_toward_more_frequent",-1,-1,-1,1,FALSE,100,100
"Zipf Markov control vs sample-space reduction","transition_nmi_excess",-1,-1,-1,1,FALSE,100,100
"latent mixture vs sample-space reduction","alpha",-0.016,-0.201,0.168,0.016,TRUE,100,100
"latent mixture vs sample-space reduction","alpha_mle",0.149,-0.041,0.324,0.149,TRUE,100,100
"latent mixture vs sample-space reduction","transition_toward_more_frequent",-1,-1,-1,1,FALSE,100,100
"latent mixture vs sample-space reduction","transition_nmi_excess",-1,-1,-1,1,FALSE,100,100
